# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Angle of attack (°),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,7.584,0,0,0,0,0,0,32.746,29.617,0.15684,NaN,193.32,71.089,85,0,NaN
0.01,0,0,3.2422,0,0,0,0,0,0,32.746,29.617,0.15684,NaN,193.32,213.27,85,0,NaN
0.02,0,0,1.1013,0,0,0,0,0,0,32.741,29.612,0.15684,NaN,193.31,355.44,85,0,NaN
0.03,5.4913e-5,0.011027,5.4462,4.8043e-6,0,0,0,0,0,32.736,29.608,0.15683,NaN,193.3,497.62,85,0,NaN
0.04,4.3612e-4,0.06551,9.7925,3.8156e-5,0,0,0,0,0,32.731,29.603,0.15682,NaN,193.28,639.8,85,0,NaN
0.05,0.0015766,0.16346,14.14,1.3793e-4,0,0,0,0,0,32.726,29.598,0.15682,NaN,193.27,781.98,85,0,NaN
0.06,0.0039094,0.30489,18.489,3.4203e-4,0,0,0,0,0,32.72,29.593,0.15681,NaN,193.25,924.16,85,0,NaN
0.07,0.0078678,0.48982,22.84,6.8835e-4,0,0,0,0,0,32.715,29.589,0.15681,NaN,193.24,1066.3,85,0,NaN
0.08,0.013885,0.71826,27.191,0.0012148,0,0,0,0,0,32.71,29.584,0.1568,NaN,193.22,1208.5,85,0,NaN
# Event LIFTOFF occurred at t=0.09 seconds
0.09,0.022395,0.99022,31.544,0.0019593,0,0,0,0,0,32.705,29.579,0.15679,NaN,193.21,1350.7,85,0,NaN
0.1,0.033831,1.3057,35.899,0.0029598,0,0,0,0,0,32.7,29.575,0.15679,NaN,193.19,1492.9,85,0,NaN
0.11,0.048627,1.6648,40.255,0.0042543,0,0,0,0,0,32.694,29.57,0.15678,NaN,193.18,1635,85,0,NaN
0.12,0.067217,2.0674,44.612,0.0058807,0,0,0,0,0,32.689,29.565,0.15677,NaN,193.16,1777.2,85,0,NaN
0.13,0.090034,2.5136,48.21,0.007877,0,0,0,0,0,32.684,29.56,0.15677,NaN,193.15,1894.6,85,0,NaN
0.14,0.11748,2.9958,48.69,0.010278,0,0,0,0,0,32.677,29.554,0.15676,NaN,193.13,1909.9,85,0,NaN
0.15,0.14975,3.4828,48.837,0.013101,0,0,0,0,0,32.668,29.546,0.15675,NaN,193.1,1914.1,85,0,NaN
0.16,0.18687,3.9713,48.987,0.016349,0,0,0,0,0,32.657,29.536,0.15674,NaN,193.07,1918.4,85,0,NaN
0.17,0.22888,4.4614,49.136,0.020024,0,0,0,0,0,32.646,29.526,0.15672,NaN,193.04,1922.7,85,0,NaN
0.18,0.27577,4.9529,49.285,0.024127,0,0,0,0,0,32.635,29.516,0.15671,NaN,193.01,1926.9,85,0,NaN
0.19,0.32756,5.4459,49.434,0.028658,0,0,0,0,0,32.625,29.507,0.1567,NaN,192.98,1931.2,85,0,NaN
0.2,0.38428,5.9404,49.584,0.03362,0,0,0,0,0,32.614,29.497,0.15668,NaN,192.95,1935.5,85,0,NaN
0.21,0.44593,6.4364,49.733,0.039014,0,0,0,0,0,32.603,29.487,0.15667,NaN,192.92,1939.7,85,0,NaN
0.22,0.51252,6.9339,49.882,0.04484,0,0,0,0,0,32.593,29.477,0.15666,NaN,192.89,1944,85,0,NaN
0.23,0.58408,7.4329,50.032,0.051101,0,0,0,0,0,32.582,29.468,0.15665,NaN,192.86,1948.2,85,0,NaN
0.24,0.66062,7.9333,50.181,0.057797,0,0,0,0,0,32.571,29.458,0.15663,NaN,192.83,1952.5,85,0,NaN
